Scientificname,Commonname,species,total_count,n_observations
Echiophis intertinctus,Spotted Spoon-nose Eel,8741133101,1,1
Elopidae spp.,tenpounders,8738010000,4,2
Elopiformes spp.,Tarpons,8737000000,4,4
Elops saurus,Ladyfish,8738010101,72884,3488
Elops smithi,Malacho,8738010199,4,4
Elops spp.,tenpounders,8738010100,24,10
Emydidae spp.,Sliders,9002030000,1,1
Engraulidae spp.,anchovies,8747020000,1,1
Epinephelus itajara,Goliath Grouper,8835031203,46,37
Epinephelus morio,Red Grouper,8835031204,56,41
Erimyzon sucetta,Lake Chubsucker,8776040301,1,1
Etheostoma fusiforme,Swamp Darter,8835200101,63,24
Etropus crossotus,Fringed Flounder,8857060201,598,329
Etropus cyclosquamus,Shelf Flounder,8857060204,1,1
Etropus spp.,sand whiffs,8857060200,1,1
Eucinostomus argenteus,Spotfin Mojarra,8835390101,43,16
Eucinostomus gula,Silver Jenny,8835390102,278681,13524
Eucinostomus harengulus,Tidewater Mojarra,8835390111,282062,14855
Eucinostomus spp.,Eucinostomus,8835390100,867495,17407
Eugerres plumieri,Striped Mojarra,8835390203,47808,5203
Euthynnus alletteratus,Little Tunny,8850030102,3,1
Farfantepenaeus duorarum,Pink Shrimp,6177010102,100174,12724
Farfantepenaeus spp.,Commercial Shrimps,6177010100,3,2
Fistularia tabacaria,Bluespotted Cornetfish,8819020101,1,1
Floridichthys carpio,Goldspotted Killifish,8804040501,116639,3847
Fundulus chrysotus,Golden Topminnow,8804040208,6,6
Fundulus confluentus,Marsh Killifish,8804040201,896,241
Fundulus grandis,Gulf Killifish,8804040207,39389,3730
Fundulus majalis,Striped Killifish,8804040205,21,8
Fundulus seminolis,Seminole Killifish,8804040223,12048,1060
Fundulus similis,Longnose Killifish,8804040213,55897,2231
Fundulus spp.,topminnows,8804040200,76,35
Fundulus xenicus,Diamond Killifish,8804040235,5305,328
Gambusia affinis,Western Mosquitofish,8804080101,6,3
Gambusia holbrooki,Eastern Mosquito Fish,8804080116,105837,2517
Gerreidae spp.,Mojarras,8835390000,260,16
Gerres cinereus,Yellowfin Mojarra,8835390301,25,13
Ginglymostoma cirratum,Nurse Shark,8707100101,1,1
Gobiesox strumosus,Skilletfish,8784010102,633,443
Gobiidae spp.,Gobies,8847010000,10,5
Gobiomorus dormitor,Bigmouth Sleeper,8847013401,2,2
Gobionellus oceanicus,Highfin Goby,8847010503,25,23
Gobiosoma bosc,Naked Goby,8847010601,20673,5151
Gobiosoma longipala,Twoscale Goby,8847010606,309,190
Gobiosoma robustum,Code Goby,8847010603,12977,3211
Gobiosoma spp.,Gobiosoma Gobies,8847010600,24018,5665
Graptemys pseudogeographica kohnii,Mississippi Map Turtle,9002030709,1,1
Gymnachirus melas,Naked Sole,8858030301,1,1
Gymnura lessae,Atlantic Butterfly Ray,8713050202,524,362
Haemulon aurolineatum,Tomtate,8835400101,104,29
Haemulon plumierii,White Grunt,8835400102,4522,897
Haemulon spp.,grunts,8835400100,5,4
Halichoeres bivittatus,Slippery Dick,8839010702,45,25
Harengula jaguana,Scaled Sardine,8747060303,366263,3551
Hemicaranx amblyrhynchus,Bluntnose Jack,8835281401,46,28
